분류,대출건수합계,평균대출건수
문학,1873036,13.421489735229837
사회과학,1017741,10.76826468316528
기술과학,585101,12.173879572219217
역사,392130,12.811775084131082
철학,374606,12.558028830036875
예술,354657,11.58479780492585
어학,292097,16.139739197701402
자연과학,209525,12.420712549647282
총류,152893,11.621541501976285
종교,148313,9.486567736983497
